what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433498012213
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1433498015027
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433498015719
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433498020803
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433498022661
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433498036936
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433498057720
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433498118725
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433498120503
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433498140609
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433498162660
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433498183525
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433498186945
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433498191757
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433498199732
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433498200445
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433498208019
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433498209866
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433498223427
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433498238188
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433498282576
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433498295545
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433498331295
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433498333891
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433498339540
